EXT_ID,X,Y
477,70000,445000
479,77000,443000
480,77000,447000
509,151000,452000
510,195000,477000
514,197000,484000
516,167000,488000
523,151000,442000
539,190000,429000
541,192000,446000
542,170000,472000
543,195000,471000
546,160000,455000
547,161000,472000
548,131000,469000
549,144000,438000
550,141000,457000
557,202000,458000
558,170000,456000
559,129000,456000
560,160000,445000
561,124000,446000
562,159000,438000
563,131000,480000
564,177000,485000
565,170000,466000
567,184000,465000
569,186000,420000
570,182000,479000
571,179000,463000
572,127000,475000
573,193000,464000
576,155000,474000
578,186000,447000
579,170000,447000
580,167000,461000
582,157000,462000
583,175000,443000
584,147000,432000
588,199000,441000
589,177000,439000
591,190000,454000
593,142000,472000
595,151000,464000
596,147000,476000
645,218000,453000
663,224000,464000
664,242000,485000
665,259000,470000
666,245000,443000
667,218000,444000
668,253000,475000
669,232000,457000
670,259000,476000
672,227000,489000
673,221000,431000
674,247000,456000
675,256000,486000
677,208000,475000
678,218000,464000
679,204000,434000
680,236000,437000
681,216000,476000
682,231000,471000
683,236000,446000
684,241000,448000
686,248000,438000
687,228000,480000
688,241000,454000
705,27000,380000
733,32000,387000
735,55000,389000
736,51000,417000
737,49000,411000
738,37000,373000
740,23000,367000
741,62000,401000
742,49000,370000
743,57000,413000
744,68000,406000
746,20000,395000
747,66000,384000
749,52000,394000
750,71000,382000
751,30000,401000
752,40000,412000
754,46000,383000
755,47000,398000
756,30000,390000
757,74000,394000
758,41000,395000
760,43000,388000
761,41000,369000
762,27000,376000
763,17000,378000
764,60000,378000
767,62000,363000
770,49000,360000
827,137000,397000
828,95000,399000
829,106000,387000
830,139000,426000
831,138000,386000
832,76000,391000
833,117000,405000
834,119000,391000
835,132000,422000
836,127000,428000
837,82000,401000
838,112000,397000
839,80000,383000
840,123000,420000
841,96000,408000
843,123000,397000
844,127000,410000
883,199000,379000
892,139000,408000
896,171000,388000
897,211000,374000
899,175000,395000
901,157000,415000
902,161000,381000
903,167000,426000
904,177000,378000
905,189000,405000
906,151000,391000
907,151000,399000
908,182000,385000
909,183000,410000
910,143000,418000
911,162000,406000
912,165000,371000
913,190000,389000
914,166000,420000
915,146000,373000
917,147000,423000
918,169000,369000
919,153000,386000
920,177000,407000
921,197000,388000
922,204000,408000
923,210000,388000
950,178000,310000
961,196000,355000
962,192000,318000
963,187000,319000
964,177000,363000
965,200000,323000
966,189000,327000
967,190000,367000
968,198000,309000
969,181000,330000
970,178000,355000
971,185000,310000
973,185000,326000
974,185000,339000
977,203000,366000
979,192000,345000
980,192000,308000
981,178000,312000
982,197000,332000
E704,273986,480698
E008,242090,624404
E402,284793,553599
E207,277299,583986
10200,277346,601738
E212,291285,593331
E103,270070,614453
E601,257555,513375
E501,268975,529766
10309,261498,455931
H119,258227,432649
H411,276727,442956
H401,214660,389819
H203,203879,419400
H512,211778,368123
H522,228741,367259
H311,224839,412509
